datetime,open,high,low,close,volume
2026-03-26 08:40:00+01:00,22725.35,22735.75,22703.35,22716.85,329
2026-03-26 08:45:00+01:00,22717.35,22728.85,22708.85,22720.85,253
2026-03-26 08:50:00+01:00,22721.35,22732.15,22714.35,22722.35,322
2026-03-26 08:55:00+01:00,22721.85,22724.85,22701.15,22711.85,450
2026-03-26 09:00:00+01:00,22710.85,22765.25,22706.55,22759.85,1480
2026-03-26 09:05:00+01:00,22760.05,22774.65,22736.15,22736.15,1304
2026-03-26 09:10:00+01:00,22735.95,22745.15,22686.85,22687.95,1246
2026-03-26 09:15:00+01:00,22688.45,22724.35,22680.65,22694.85,1321
2026-03-26 09:20:00+01:00,22694.35,22718.85,22686.05,22696.45,1186
2026-03-26 09:25:00+01:00,22696.65,22709.75,22655.95,22662.25,1144
2026-03-26 09:30:00+01:00,22662.35,22700.55,22653.35,22680.05,1225
2026-03-26 09:35:00+01:00,22678.85,22694.95,22648.05,22668.55,1179
2026-03-26 09:40:00+01:00,22670.55,22683.35,22636.65,22640.95,1148
2026-03-26 09:45:00+01:00,22640.65,22656.75,22626.05,22634.75,1044
2026-03-26 09:50:00+01:00,22634.55,22683.25,22634.55,22671.45,968
2026-03-26 09:55:00+01:00,22669.45,22701.35,22665.95,22681.75,950
2026-03-26 10:00:00+01:00,22681.25,22685.85,22614.35,22649.85,1080
2026-03-26 10:05:00+01:00,22648.35,22680.55,22635.25,22645.35,1063
2026-03-26 10:10:00+01:00,22645.05,22680.05,22635.35,22635.85,1002
2026-03-26 10:15:00+01:00,22636.35,22641.45,22619.05,22629.85,938
2026-03-26 10:20:00+01:00,22630.35,22644.85,22612.35,22612.85,909
2026-03-26 10:25:00+01:00,22612.35,22621.55,22594.85,22598.85,871
2026-03-26 10:30:00+01:00,22597.35,22597.85,22567.85,22579.35,1144
2026-03-26 10:35:00+01:00,22580.35,22587.85,22562.65,22573.75,922
2026-03-26 10:40:00+01:00,22572.95,22592.65,22560.95,22584.35,996
2026-03-26 10:45:00+01:00,22584.85,22594.75,22568.65,22570.75,895
2026-03-26 10:50:00+01:00,22570.95,22612.35,22570.95,22612.35,834
2026-03-26 10:55:00+01:00,22611.85,22638.85,22611.15,22623.35,673
2026-03-26 11:00:00+01:00,22622.95,22625.15,22596.05,22616.25,966
2026-03-26 11:05:00+01:00,22615.95,22655.35,22615.95,22638.25,929
2026-03-26 11:10:00+01:00,22637.75,22669.65,22636.05,22668.85,675
2026-03-26 11:15:00+01:00,22669.15,22682.55,22644.55,22645.55,760
2026-03-26 11:20:00+01:00,22645.95,22666.65,22644.65,22666.15,650
2026-03-26 11:25:00+01:00,22666.45,22698.25,22660.35,22686.85,629
2026-03-26 11:30:00+01:00,22687.15,22713.05,22684.05,22707.85,647
2026-03-26 11:35:00+01:00,22708.35,22710.85,22655.15,22656.25,797
2026-03-26 11:40:00+01:00,22655.85,22678.35,22647.15,22648.55,1046
2026-03-26 11:45:00+01:00,22647.85,22662.25,22632.85,22642.85,778
2026-03-26 11:50:00+01:00,22642.35,22660.45,22634.95,22639.05,619
2026-03-26 11:55:00+01:00,22639.15,22666.25,22639.15,22661.15,670
2026-03-26 12:00:00+01:00,22667.15,22672.15,22644.75,22665.05,774
2026-03-26 12:05:00+01:00,22666.05,22694.45,22660.45,22693.65,711
2026-03-26 12:10:00+01:00,22694.15,22694.15,22657.25,22659.75,632
2026-03-26 12:15:00+01:00,22660.25,22674.25,22648.65,22672.25,643
2026-03-26 12:20:00+01:00,22671.75,22674.55,22649.65,22656.35,571
2026-03-26 12:25:00+01:00,22655.55,22656.55,22618.35,22640.25,833
2026-03-26 12:30:00+01:00,22639.75,22647.25,22607.75,22624.45,812
2026-03-26 12:35:00+01:00,22624.95,22631.65,22607.85,22620.25,633
2026-03-26 12:40:00+01:00,22619.95,22624.05,22594.25,22600.65,726
2026-03-26 12:45:00+01:00,22600.35,22608.85,22593.75,22597.15,550
2026-03-26 12:50:00+01:00,22597.55,22606.65,22581.55,22603.25,647
2026-03-26 12:55:00+01:00,22603.75,22609.05,22571.15,22572.75,680
2026-03-26 13:00:00+01:00,22572.25,22575.25,22545.25,22572.15,782
2026-03-26 13:05:00+01:00,22572.65,22639.45,22572.65,22623.85,818
2026-03-26 13:10:00+01:00,22623.95,22651.75,22620.25,22643.65,707
2026-03-26 13:15:00+01:00,22643.55,22656.75,22623.85,22624.75,625
2026-03-26 13:20:00+01:00,22624.45,22631.05,22610.75,22615.25,693
2026-03-26 13:25:00+01:00,22615.75,22625.95,22611.25,22619.25,448
2026-03-26 13:30:00+01:00,22619.65,22619.65,22574.75,22575.25,752
2026-03-26 13:35:00+01:00,22574.25,22616.35,22559.25,22616.35,726
2026-03-26 13:40:00+01:00,22615.65,22619.65,22584.05,22586.15,748
2026-03-26 13:45:00+01:00,22586.65,22628.95,22586.65,22618.35,635
2026-03-26 13:50:00+01:00,22617.85,22626.15,22591.65,22602.65,625
2026-03-26 13:55:00+01:00,22602.15,22615.05,22596.85,22610.95,575
2026-03-26 14:00:00+01:00,22611.45,22630.95,22600.25,22604.65,885
2026-03-26 14:05:00+01:00,22605.15,22609.25,22583.65,22585.25,638
2026-03-26 14:10:00+01:00,22584.25,22621.75,22573.25,22607.75,706
2026-03-26 14:15:00+01:00,22608.25,22625.05,22596.55,22601.15,726
2026-03-26 14:20:00+01:00,22602.15,22612.35,22594.65,22596.75,641
2026-03-26 14:25:00+01:00,22596.25,22616.05,22588.45,22612.55,691
2026-03-26 14:30:00+01:00,22613.95,22644.15,22601.75,22644.15,1298
2026-03-26 14:35:00+01:00,22643.65,22664.45,22627.85,22640.75,1202
2026-03-26 14:40:00+01:00,22640.45,22702.55,22633.35,22702.55,1222
2026-03-26 14:45:00+01:00,22702.45,22741.25,22698.85,22711.85,1300
2026-03-26 14:50:00+01:00,22710.45,22763.05,22699.35,22749.45,1435
